                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8705,                 4.6989,                 4.1619,                      0,                      0,                      0,                      0,                 2.8872,                 4.2504,                  4.159,                      0,                      0,                      0
                      2,                 4.2301,                  4.727,                 4.2175,                      0,                      0,                      0,                      0,                 2.8872,                 4.2504,                 4.1588,             1.3818e-05,             1.3818e-05,             1.3818e-05
                      3,                 2.5709,                  4.817,                 4.1741,                      0,                      0,                      0,                      0,                 2.8871,                 4.2512,                 4.1589,             2.6694e-05,             2.6694e-05,             2.6694e-05
                      4,                 5.3428,                 4.9298,                 4.1562,                      0,                      0,                      0,                      0,                 2.8866,                 4.2502,                  4.159,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      5,                  3.841,                 4.4798,                 4.1649,                      0,                      0,                      0,                      0,                 2.8866,                 4.2479,                 4.1588,             4.9615e-05,             4.9615e-05,             4.9615e-05
                      6,                 5.9444,                 4.7458,                 4.1867,                      0,                      0,                      0,                      0,                 2.8869,                 4.2473,                 4.1589,             5.9661e-05,             5.9661e-05,             5.9661e-05
                      7,                 2.1686,                 5.3393,                 4.2031,                      0,                      0,                      0,                      0,                 2.8876,                 4.2485,                 4.1585,             6.8763e-05,             6.8763e-05,             6.8763e-05
                      8,                 3.1081,                  4.899,                 4.1938,                      0,                      0,                      0,                      0,                 2.8876,                 4.2485,                 4.1589,             7.6923e-05,             7.6923e-05,             7.6923e-05
                      9,                 5.0707,                 5.9982,                 4.1661,                      0,                      0,                      0,                      0,                 2.8885,                 4.2464,                 4.1586,              8.414e-05,              8.414e-05,              8.414e-05
                     10,                 4.9618,                 4.8282,                 4.1547,                      0,                      0,                      0,                      0,                 2.8885,                 4.2464,                 4.1589,             9.0413e-05,             9.0413e-05,             9.0413e-05
                     11,                 2.2765,                 5.0275,                 4.1224,                      0,                      0,                      0,                      0,                 2.8885,                 4.2464,                 4.1584,             9.5743e-05,             9.5743e-05,             9.5743e-05
                     12,                 2.4299,                 4.5675,                  4.092,                      0,                      0,                      0,                      0,                 2.8885,                 4.2464,                  4.159,             0.00010013,             0.00010013,             0.00010013
                     13,                 4.0991,                 4.4849,                 4.1352,                      0,                      0,                      0,                      0,                  2.891,                 4.2481,                 4.1593,             0.00010357,             0.00010357,             0.00010357
                     14,                 5.4267,                 4.5586,                 4.2255,                      0,                      0,                      0,                      0,                  2.891,                 4.2527,                 4.1588,             0.00010607,             0.00010607,             0.00010607
                     15,                 4.1693,                 4.4857,                 4.1458,                      0,                      0,                      0,                      0,                  2.891,                 4.2527,                 4.1584,             0.00010763,             0.00010763,             0.00010763
                     16,                  6.057,                 4.8899,                  4.133,                      0,                      0,                      0,                      0,                 2.8925,                 4.2504,                 4.1587,             0.00010825,             0.00010825,             0.00010825
                     17,                  2.646,                 4.4589,                 4.1511,                      0,                      0,                      0,                      0,                 2.8931,                 4.2514,                 4.1587,             0.00010792,             0.00010792,             0.00010792
                     18,                 5.1093,                  4.584,                 3.9898,                      0,                      0,                      0,                      0,                 2.8931,                 4.2514,                 4.1587,             0.00010665,             0.00010665,             0.00010665
                     19,                 6.2516,                 4.8269,                 3.9743,                      0,                      0,                      0,                      0,                  2.888,                 4.2506,                 4.1582,             0.00010443,             0.00010443,             0.00010443
                     20,                 3.4954,                  4.572,                 4.3812,                      0,                      0,                      0,                      0,                  2.888,                 4.2506,                 4.1582,             0.00010127,             0.00010127,             0.00010127
                     21,                 2.9591,                 4.3648,                 4.2016,                      0,                      0,                      0,                      0,                 2.8839,                 4.2485,                 4.1587,             9.7172e-05,             9.7172e-05,             9.7172e-05
                     22,                 3.1126,                 4.3282,                 4.1554,                      0,                      0,                      0,                      0,                 2.8839,                 4.2485,                 4.1587,             9.2128e-05,             9.2128e-05,             9.2128e-05
                     23,                 2.4242,                 4.3039,                 4.1242,                      0,                      0,                      0,                      0,                 2.8859,                 4.2494,                 4.1586,              8.614e-05,              8.614e-05,              8.614e-05
                     24,                 4.6095,                 4.8261,                 4.0464,                      0,                      0,                      0,                      0,                 2.8859,                 4.2494,                 4.1586,             7.9209e-05,             7.9209e-05,             7.9209e-05
                     25,                 4.7395,                 4.8276,                 3.8301,                      0,                      0,                      0,                      0,                 2.8866,                 4.2489,                  4.159,             7.1336e-05,             7.1336e-05,             7.1336e-05
                     26,                 2.8937,                  4.281,                 4.0992,                      0,                      0,                      0,                      0,                 2.8866,                 4.2489,                  4.159,             6.2519e-05,             6.2519e-05,             6.2519e-05
                     27,                 5.3936,                 6.9787,                 4.2366,                      0,                      0,                      0,                      0,                 2.8871,                 4.2483,                 4.1594,             5.2759e-05,             5.2759e-05,             5.2759e-05
                     28,                 2.8763,                 4.3858,                 3.9453,                      0,                      0,                      0,                      0,                 2.8871,                 4.2483,                 4.1594,             4.2055e-05,             4.2055e-05,             4.2055e-05
                     29,                  2.506,                 4.2652,                 4.1371,                      0,                      0,                      0,                      0,                 2.8871,                 4.2483,                 4.1593,             3.0409e-05,             3.0409e-05,             3.0409e-05
                     30,                 2.3617,                 4.3241,                 4.1034,                      0,                      0,                      0,                      0,                 2.8871,                 4.2483,                 4.1593,              1.782e-05,              1.782e-05,              1.782e-05
