epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99093,4.22629,6.04634,4.20311,0,0,0,0,2.36135,5.18985,4.15879,0,0,0
2,4.97231,4.82663,5.77991,4.20637,0,0,0,0,2.36155,5.18954,4.1587,1.20875e-05,1.20875e-05,1.20875e-05
3,6.52727,4.39232,5.34528,4.19891,0,0,0,0,2.36174,5.18963,4.15858,2.335e-05,2.335e-05,2.335e-05
4,8.39459,3.49224,5.52001,4.19461,0,0,0,0,2.36191,5.18935,4.15845,3.37875e-05,3.37875e-05,3.37875e-05
5,10.0603,3.64643,5.69762,4.15,0,0,0,0,2.36208,5.19011,4.15829,4.34e-05,4.34e-05,4.34e-05
6,11.7214,3.5702,5.38861,4.17686,0,0,0,0,2.36225,5.18977,4.15808,5.21875e-05,5.21875e-05,5.21875e-05
7,13.386,3.99872,5.64201,4.23887,0,0,0,0,2.3624,5.18972,4.15783,6.015e-05,6.015e-05,6.015e-05
8,15.0321,3.88559,5.33946,4.18554,0,0,0,0,2.36253,5.18933,4.15752,6.72875e-05,6.72875e-05,6.72875e-05
9,16.6696,4.30269,5.28822,4.21826,0,0,0,0,2.36263,5.18927,4.15719,7.36e-05,7.36e-05,7.36e-05
10,18.2863,4.24073,5.36308,4.19797,0,0,0,0,2.3627,5.1895,4.15679,7.90875e-05,7.90875e-05,7.90875e-05
11,19.9027,4.09386,5.26326,4.17385,0,0,0,0,2.36273,5.18923,4.1563,8.375e-05,8.375e-05,8.375e-05
12,21.5883,4.38469,5.95545,4.23248,0,0,0,0,2.36272,5.18889,4.1558,8.75875e-05,8.75875e-05,8.75875e-05
13,23.2095,4.07988,5.4183,4.20391,0,0,0,0,2.3627,5.18846,4.15523,9.06e-05,9.06e-05,9.06e-05
14,25.1099,3.98641,5.36983,4.19929,0,0,0,0,2.36265,5.18837,4.1546,9.27875e-05,9.27875e-05,9.27875e-05
15,26.8582,3.74461,5.65748,4.24384,0,0,0,0,2.36259,5.18754,4.15393,9.415e-05,9.415e-05,9.415e-05
16,28.6835,2.54894,5.20688,4.18723,0,0,0,0,2.36253,5.18708,4.15323,9.46875e-05,9.46875e-05,9.46875e-05
17,30.4868,4.1445,5.29814,4.17609,0,0,0,0,2.36246,5.18677,4.1525,9.44e-05,9.44e-05,9.44e-05
18,32.2402,3.63416,5.36925,4.19938,0,0,0,0,2.36246,5.18677,4.1525,9.32875e-05,9.32875e-05,9.32875e-05
19,33.9413,4.29844,5.68601,4.15756,0,0,0,0,2.36241,5.18575,4.15116,9.135e-05,9.135e-05,9.135e-05
20,35.6235,4.51359,5.30952,4.16593,0,0,0,0,2.36241,5.18575,4.15116,8.85875e-05,8.85875e-05,8.85875e-05
21,37.282,3.16627,5.72049,4.176,0,0,0,0,2.36231,5.18475,4.14988,8.5e-05,8.5e-05,8.5e-05
22,39.3043,3.57672,5.88566,4.20364,0,0,0,0,2.36231,5.18475,4.14988,8.05875e-05,8.05875e-05,8.05875e-05
23,41.0374,3.07778,5.89094,4.17941,0,0,0,0,2.36221,5.1841,4.14857,7.535e-05,7.535e-05,7.535e-05
24,42.6259,3.67293,5.9313,4.21549,0,0,0,0,2.36221,5.1841,4.14857,6.92875e-05,6.92875e-05,6.92875e-05
25,44.278,3.71979,6.1712,4.19715,0,0,0,0,2.36213,5.18322,4.14726,6.24e-05,6.24e-05,6.24e-05
26,45.9611,2.90552,5.68575,4.22318,0,0,0,0,2.36213,5.18322,4.14726,5.46875e-05,5.46875e-05,5.46875e-05
27,47.6249,3.34634,5.75481,4.19526,0,0,0,0,2.36205,5.18214,4.14606,4.615e-05,4.615e-05,4.615e-05
28,49.3664,3.62046,6.00165,4.18805,0,0,0,0,2.36205,5.18214,4.14606,3.67875e-05,3.67875e-05,3.67875e-05
29,51.0873,3.90871,6.28174,4.21756,0,0,0,0,2.36199,5.1813,4.1448,2.66e-05,2.66e-05,2.66e-05
30,52.744,3.75549,6.01493,4.20116,0,0,0,0,2.36199,5.1813,4.1448,1.55875e-05,1.55875e-05,1.55875e-05
